subject,roi,rho_identity_residualized
subj01,ventral,-0.06457654048899023
subj02,ventral,0.05684281255283688
subj03,ventral,0.13511129083052179
subj04,ventral,0.2508328201681804
subj05,ventral,-0.04062687407777184
subj06,ventral,-0.13024208385012004
subj07,ventral,0.08062196846490122
subj08,ventral,0.08891334005818843
subj01,lateral,0.09452669582155376
subj02,lateral,-0.056218780221054324
subj03,lateral,0.13853997639904947
subj04,lateral,0.29295355859465944
subj05,lateral,0.018108736183694484
subj06,lateral,-0.12341425927295581
subj07,lateral,0.07092819126270661
subj08,lateral,0.10740767086103672
