subject,roi,rho_position_residualized
subj01,ventral,-0.04417227622459792
subj02,ventral,-0.09808511692047775
subj03,ventral,0.033784809611765075
subj04,ventral,-0.003005739905979944
subj05,ventral,0.014229653965152656
subj06,ventral,-0.16653632845762206
subj07,ventral,0.016034739927900502
subj08,ventral,0.07086425840105337
subj01,lateral,0.06405574113320314
subj02,lateral,0.04302440326477447
subj03,lateral,0.0399229232773408
subj04,lateral,0.11937767238782265
subj05,lateral,0.0833538410801182
subj06,lateral,-0.07427903534900232
subj07,lateral,0.09776823286037956
subj08,lateral,-0.037824249722480836
