subject,roi,E_ANISO_ratio,ANISO_CENTRED,eff_rank_med,align_pass_folds,repro_pass
subj01,ventral,4.529671228877695,0.0967440353384297,23.812262182088688,6,1
subj02,ventral,4.619728247251098,0.09924749455737801,24.7599815503946,6,1
subj03,ventral,3.885695862367542,0.07908163332938647,28.03468386565782,6,1
subj04,ventral,4.987291962177745,0.10994489761504059,20.494910297036448,6,1
subj05,ventral,4.1349360509377275,0.08659750142385517,23.13622062137314,6,1
subj06,ventral,4.280632254387566,0.0900447909180784,25.796853614308684,6,1
subj07,ventral,4.024615275433112,0.08350614859461641,23.399273038306497,6,1
subj08,ventral,4.9324063641955185,0.11011004854982753,18.99774264016307,6,1
subj01,lateral,3.7060023339528243,0.07426677046209264,25.57243803106322,6,1
subj02,lateral,5.560693308705946,0.12566370713557606,19.361973845243917,6,1
subj03,lateral,5.5799545691263415,0.12577381491068707,21.06310834819638,6,1
subj04,lateral,5.428781446465335,0.12303655636269067,19.243208482667768,6,1
subj05,lateral,4.098932559544375,0.08561697842061561,23.560846652752545,6,1
subj06,lateral,4.826903324430818,0.10558755357975166,21.80660806867976,6,1
subj07,lateral,3.7369680685018274,0.07546695947801899,25.458716552268356,6,1
subj08,lateral,4.448088169544948,0.09732968207989873,20.62768943451517,6,1
