subject,roi,spearman_Dmode_Dfull
subj01,ventral,0.6480156300607737
subj02,ventral,0.6823472696933709
subj03,ventral,0.608172470484372
subj04,ventral,0.6314612883696331
subj05,ventral,0.4659580501577766
subj06,ventral,0.636321920213849
subj07,ventral,0.39551703426532425
subj08,ventral,0.4607035235626207
subj01,lateral,0.4928140942504827
subj02,lateral,0.7160584285755285
subj03,lateral,0.7789738647125788
subj04,lateral,0.6937377260222677
subj05,lateral,0.53311797641483
subj06,lateral,0.5710726004501654
subj07,lateral,0.49143059402977324
subj08,lateral,0.3873467162112853
