subject,roi,pos0,pos1,pos2,pos3,pos4,pos5,pos6,pos7
subj01,ventral,0.014857,0.046835,-0.061096,0.018648,-0.02079,0.017323,-0.013035,-0.002741
subj02,ventral,0.074657,0.111176,0.118306,0.010003,-0.086919,-0.073768,-0.067965,-0.085488
subj03,ventral,-0.038518,0.027748,-0.043159,0.026188,0.010049,-0.020049,0.003415,0.034326
subj04,ventral,-0.006261,0.035387,0.026468,0.035939,0.017095,-0.041449,-0.042223,-0.024956
subj05,ventral,0.037089,0.010188,-0.132162,-0.139895,-0.0854,-0.023326,0.123905,0.2096
subj06,ventral,-0.082985,-0.085841,-0.045753,-0.060281,0.000659,0.072402,0.094534,0.107265
subj07,ventral,0.016845,-0.054553,0.035037,0.007995,0.060239,-0.009417,-0.04354,-0.012606
subj08,ventral,-0.173656,-0.271873,-0.209605,-0.089807,-0.112053,0.238327,0.308068,0.310598
subj01,lateral,0.013753,0.063491,0.060367,0.085348,0.033372,-0.020981,-0.130348,-0.105003
subj02,lateral,0.038712,0.015737,-0.041311,-0.039829,-0.005402,0.024958,0.034073,-0.026939
subj03,lateral,-0.187019,-0.20579,-0.166585,-0.101548,0.067811,0.194175,0.231203,0.167753
subj04,lateral,0.013959,0.133885,0.097818,0.021246,0.001896,-0.036157,-0.146539,-0.086108
subj05,lateral,0.020827,0.070322,0.025136,-0.07033,-0.094125,-0.014616,0.034622,0.028163
subj06,lateral,0.024124,0.021771,-0.00335,-0.026943,-0.029432,0.009944,0.018874,-0.014988
subj07,lateral,-0.039181,0.043318,0.06897,0.107799,0.046078,-0.034378,-0.094715,-0.097891
subj08,lateral,0.013497,0.02498,0.036053,0.050519,0.073317,-0.020101,-0.098343,-0.079921
