,cocoId,cocoSplit,cropBox,loss,nsdId,flagged,BOLD5000,shared1000,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject1_rep0,subject1_rep1,subject1_rep2,subject2_rep0,subject2_rep1,subject2_rep2,subject3_rep0,subject3_rep1,subject3_rep2,subject4_rep0,subject4_rep1,subject4_rep2,subject5_rep0,subject5_rep1,subject5_rep2,subject6_rep0,subject6_rep1,subject6_rep2,subject7_rep0,subject7_rep1,subject7_rep2,subject8_rep0,subject8_rep1,subject8_rep2
0,532481,val2017,"(0, 0, 0.1671875, 0.1671875)",0.1,0,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13792,14918,28011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,245764,val2017,"(0, 0, 0.125, 0.125)",0.0,1,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13985,14176,28603,0,0,0
2,385029,val2017,"(0, 0, 0.125, 0.125)",0.0,2,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1042,22634,26547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,311303,val2017,"(0, 0, 0.16640625, 0.16640625)",0.125,3,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18180,18551,18638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,393226,val2017,"(0, 0, 0.125, 0.125)",0.13333333333333333,4,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13720,22861,23023,0,0,0,0,0,0
5,475150,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,5,False,False,False,0,1,0,0,0,0,0,0,0,0,0,7015,7301,24026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,554328,val2017,"(0, 0, 0.11015625, 0.11015625)",0.0,6,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9464,17521,17675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,438269,val2017,"(0.16484375, 0.16484375, 0, 0)",0.0,7,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11767,19544,29069
8,8211,val2017,"(0, 0, 0.14140625, 0.14140625)",0.0,8,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15653,15799,22809,0,0,0,0,0,0,0,0,0
9,327701,val2017,"(0, 0, 0.165625, 0.165625)",0.0,9,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13481,17352,25765
10,376856,val2017,"(0.125, 0.125, 0, 0)",0.0,10,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8832,20835,20899,0,0,0,0,0,0
11,221213,val2017,"(0, 0, 0.125, 0.125)",0.0,11,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5949,22718,23081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,372349,val2017,"(0, 0, 0.15859375, 0.15859375)",0.0,12,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13573,13815,15357,0,0,0,0,0,0,0,0,0,0,0,0
13,24610,val2017,"(0, 0, 0.125, 0.125)",0.125,13,False,False,False,1,0,0,0,0,0,0,0,842,17596,17837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,558114,val2017,"(0, 0, 0.125, 0.125)",0.1111111111111111,14,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10095,13834,15098,0,0,0
15,213033,val2017,"(0, 0.25, 0, 0)",0.0,15,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9795,9941,20400,0,0,0
16,466986,val2017,"(0, 0, 0.0, 0.253125)",0.0,16,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4393,4428,5291,0,0,0,0,0,0,0,0,0,0,0,0
17,213035,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,17,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11021,19542,24287,0,0,0,0,0,0,0,0,0,0,0,0
18,368684,val2017,"(0, 0, 0.125, 0.125)",0.0,18,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626,18956,19112,0,0,0,0,0,0
19,188465,val2017,"(0, 0, 0.1453125, 0.1453125)",0.0,19,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10641,14067,14348,0,0,0
20,333069,val2017,"(0.165625, 0.165625, 0, 0)",0.0,20,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11862,21745,21941,0,0,0,0,0,0,0,0,0,0,0,0
21,475191,val2017,"(0, 0, 0.125, 0.125)",0.0,21,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13047,13619,13703
22,499768,val2017,"(0, 0, 0.165625, 0.165625)",0.0,22,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18284,18438,28003,0,0,0,0,0,0,0,0,0,0,0,0
23,76468,val2017,"(0, 0, 0.125, 0.125)",0.038461538461538464,23,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6363,28337,28456,0,0,0,0,0,0,0,0,0,0,0,0
24,131131,val2017,"(0, 0, 0.125, 0.125)",0.0,24,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5477,25279,26848,0,0,0,0,0,0
25,275727,val2017,"(0, 0, 0.12890625, 0.12890625)",0.0,25,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15831,15905,27442
26,499775,val2017,"(0, 0, 0.25, 0.0)",0.0,26,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8915,18918,19513
27,254016,val2017,"(0, 0.25, 0, 0)",0.0,27,False,False,False,1,0,0,0,0,0,0,0,3206,16924,27089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,393282,val2017,"(0, 0, 0.0, 0.0)",0.0,28,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3526,26856,29770
29,106563,val2017,"(0, 0, 0.0, 0.0)",0.0,29,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,22499,22691
30,376900,val2017,"(0, 0.25, 0, 0)",0.0,30,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,2886,3225,0,0,0,0,0,0,0,0,0
31,120572,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,31,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517,9421,9696,0,0,0,0,0,0
32,507975,val2017,"(0, 0, 0.125, 0.125)",0.09090909090909091,32,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20989,21044,21102,0,0,0,0,0,0,0,0,0
33,23023,val2017,"(0, 0, 0.0, 0.0)",0.0,33,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21726,22221,22260,0,0,0,0,0,0,0,0,0,0,0,0
34,241677,val2017,"(0, 0, 0.125, 0.125)",0.0625,34,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16873,17077,17083,0,0,0,0,0,0,0,0,0
35,262227,val2017,"(0.1296875, 0.1296875, 0, 0)",0.0,35,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18937,18970,26272
36,8277,val2017,"(0, 0, 0.0, 0.0)",0.0,36,False,False,False,0,1,0,0,0,0,0,0,0,0,0,5129,18637,27894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,324614,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,37,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22445,23844,24156,0,0,0,0,0,0,0,0,0,0,0,0
38,491613,val2017,"(0.125, 0.125, 0, 0)",0.0,38,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14428,25908,26324,0,0,0
39,532575,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,39,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23879,24236,25443,0,0,0
40,90208,val2017,"(0, 0, 0.0, 0.3296875)",0.0,40,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24959,26061,29130,0,0,0,0,0,0,0,0,0,0,0,0
41,311394,val2017,"(0, 0.25, 0, 0)",0.0,41,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27236,27502,27618
42,490171,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,42,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4596,4788,4969,0,0,0
43,327780,val2017,"(0, 0, 0.125, 0.125)",0.0,43,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5940,6477,6658
44,290833,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,44,False,False,False,0,1,0,0,0,0,0,0,0,0,0,7980,13565,25868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,522940,val2017,"(0.10078125, 0.10078125, 0, 0)",0.0,45,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18882,18892,19080,0,0,0,0,0,0,0,0,0,0,0,0
46,29984,val2017,"(0, 0, 0.115625, 0.115625)",0.0,46,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13749,27365,27497,0,0,0,0,0,0
47,163951,val2017,"(0.16640625, 0.16640625, 0, 0)",0.0,47,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15037,18587,24221,0,0,0
48,360564,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,48,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11552,24317,24375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49269,val2017,"(0.16328125, 0.16328125, 0, 0)",0.0,49,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479,7254,15710,0,0,0
50,32887,val2017,"(0, 0, 0.125, 0.125)",0.0,50,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024,7390,25675,0,0,0,0,0,0
51,434297,val2017,"(0, 0, 0.125, 0.125)",0.0,51,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13841,13871,20072,0,0,0,0,0,0,0,0,0,0,0,0
52,450686,val2017,"(0, 0.2015625, 0, 0)",0.0,52,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20457,20690,20808,0,0,0,0,0,0,0,0,0
53,32901,val2017,"(0, 0, 0.0734375, 0.0734375)",0.09523809523809523,53,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26206,28860,29056,0,0,0,0,0,0,0,0,0,0,0,0
54,540932,val2017,"(0, 0, 0.125, 0.125)",0.0,54,False,False,False,0,1,0,0,0,0,0,0,0,0,0,9153,21538,23499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,565391,val2017,"(0.25, 0.0, 0, 0)",0.0,55,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855,10646,11057,0,0,0
56,335800,val2017,"(0, 0, 0.16640625, 0.16640625)",0.0,56,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10284,14728,14793,0,0,0,0,0,0
57,196759,val2017,"(0, 0, 0.125, 0.125)",0.0,57,False,False,False,0,1,0,0,0,0,0,0,0,0,0,5698,5793,5971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,180383,val2017,"(0, 0, 0.125, 0.125)",0.0,58,False,False,False,0,1,0,0,0,0,0,0,0,0,0,6401,7348,22450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,572303,val2017,"(0, 0, 0.125, 0.125)",0.0,59,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8182,18341,19675
60,82085,val2017,"(0, 0, 0.165625, 0.165625)",0.08333333333333333,60,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6746,28907,28966,0,0,0,0,0,0,0,0,0,0,0,0
61,524456,val2017,"(0, 0, 0.125, 0.125)",0.0,61,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,4455,17448,0,0,0,0,0,0,0,0,0
62,90284,val2017,"(0, 0, 0.00078125, 0.00078125)",0.0,62,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18346,27194,27902,0,0,0,0,0,0,0,0,0,0,0,0
63,188592,val2017,"(0, 0.25, 0, 0)",0.0,63,False,False,False,0,1,0,0,0,0,0,0,0,0,0,10611,25798,25814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,278705,val2017,"(0, 0, 0.125, 0.125)",0.0,64,False,False,False,0,1,0,0,0,0,0,0,0,0,0,12257,25985,26074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,394611,val2017,"(0, 0, 0.125, 0.125)",0.0,65,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10788,20126,20221,0,0,0,0,0,0,0,0,0
66,336053,val2017,"(0, 0, 0.125, 0.125)",0.08,66,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11554,14309,15712,0,0,0,0,0,0
