split,system,R@1,R@5,R@10,MedR,MRR,gain_over_compact_csls,gain_over_legacy_csls,gain_over_two_expert_fusion
val,compact_raw,0.42,0.7188888888888889,0.81,2.0,0.5545803223092189,,,
val,compact_csls,0.5277777777777778,0.8311111111111111,0.9111111111111111,1.0,0.6642273069073542,,,
val,rerank_only,0.5177777777777778,0.8311111111111111,0.9211111111111111,1.0,0.6544284805454249,,,
val,legacy_raw,0.5388888888888889,0.8455555555555555,0.9277777777777778,1.0,0.6748436467406271,,,
val,legacy_csls,0.7011111111111111,0.9166666666666666,0.9666666666666667,1.0,0.7933953012887102,,,
val,fixed_tri_expert,0.7755555555555556,0.9611111111111111,0.9855555555555555,1.0,0.8547182422780137,0.24777777777777776,0.07444444444444442,0.13666666666666671
val,fixed_two_expert_fusion,0.6388888888888888,0.9033333333333333,0.9611111111111111,1.0,0.7537256205592249,,,
shared1000,compact_raw,0.421,0.732,0.836,2.0,0.5547769135675239,,,
shared1000,compact_csls,0.518,0.813,0.903,1.0,0.6483954305232126,,,
shared1000,rerank_only,0.516,0.845,0.922,1.0,0.6592109666763207,,,
shared1000,legacy_raw,0.529,0.844,0.922,1.0,0.6622623846801741,,,
shared1000,legacy_csls,0.701,0.941,0.974,1.0,0.8028983045245067,,,
shared1000,fixed_tri_expert,0.772,0.944,0.975,1.0,0.8476717200147869,0.254,0.07100000000000006,0.129
shared1000,fixed_two_expert_fusion,0.643,0.908,0.951,1.0,0.7528321191049588,,,
