split,bucket,query_nsd_id,gt_nsd_id,fused_top1_nsd_id,selected_seed,retrieval_mse,retrieval_pixel_l2,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,diffusion_mse,diffusion_pixel_l2,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,delta_mse,delta_pixel_l2,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity
val,perfect,71315,71315,71315,43,0.0,0.0,1.0,1.0,inf,0.0,1.0,0.05244813859462738,101.5466537475586,0.3512385354359883,0.24792812764644623,12.802699362867669,0.7057896256446838,0.5340852737426758,0.05244813859462738,101.5466537475586,-0.6487614645640116,-0.7520718723535538,-inf,0.7057896256446838,-0.4659147262573242
val,perfect,34704,34704,34704,47,0.0,0.0,1.0,1.0,inf,0.0,1.0,0.05059182643890381,99.73343658447266,0.2029943638176857,0.2545213997364044,12.959196327768636,0.6117349863052368,0.7398971319198608,0.05059182643890381,99.73343658447266,-0.7970056361823143,-0.7454786002635956,-inf,0.6117349863052368,-0.26010286808013916
shared1000,perfect,46372,46372,46372,50,0.0,0.0,1.0,1.0,inf,0.0,1.0,0.05326930060982704,102.33850860595703,0.5439119558572129,0.24452047049999237,12.735230135252332,0.5789602994918823,0.6351306438446045,0.05326930060982704,102.33850860595703,-0.45608804414278714,-0.7554795295000076,-inf,0.5789602994918823,-0.3648693561553955
shared1000,perfect,28349,28349,28349,54,0.0,0.0,1.0,1.0,inf,0.0,0.9999999403953552,0.04449087381362915,93.52679443359375,0.7240620390564317,0.36498236656188965,13.51729103725283,0.6379903554916382,0.6359617710113525,0.04449087381362915,93.52679443359375,-0.27593796094356826,-0.6350176334381104,-inf,0.6379903554916382,-0.3640381693840027
val,good,60007,60007,67834,59,0.1303781121969223,160.10427856445312,0.4724670454207801,0.17822051048278809,8.847953431791497,0.6089137196540833,0.5770683288574219,0.0699152946472168,117.24293518066406,0.566101803922643,0.19313271343708038,11.55427776990565,0.6126360893249512,0.6138464212417603,-0.060462817549705505,-42.86134338378906,0.09363475850186287,0.014912202954292297,2.706324338114152,0.00372236967086792,0.03677809238433838
val,good,3024,3024,3585,63,0.17578232288360596,185.9037628173828,-0.13188518513680442,0.10459565371274948,7.550248269236533,0.7409459352493286,0.6707650423049927,0.09374894946813583,135.76373291015625,-0.023002409141972626,0.13720828294754028,10.280335951401282,0.6981989145278931,0.5900887846946716,-0.08203337341547012,-50.14002990722656,0.10888277599483179,0.0326126292347908,2.730087682164749,-0.04274702072143555,-0.08067625761032104
shared1000,good,11159,11159,26372,68,0.11630361527204514,151.21580505371094,0.04071300458059061,0.05468880012631416,9.344067733325778,0.7505484819412231,0.6804160475730896,0.06481772661209106,112.88792419433594,0.2967368570670953,0.09819269180297852,11.883062093090446,0.8152632713317871,0.6116936206817627,-0.05148588865995407,-38.327880859375,0.25602385248650467,0.04350389167666435,2.5389943597646685,0.06471478939056396,-0.0687224268913269
shared1000,good,56911,56911,7654,71,0.218274787068367,207.1583251953125,-0.3418225111789691,0.11524242162704468,6.609964176007862,0.7549697160720825,0.626284658908844,0.08456356078386307,128.9413604736328,0.33134864422848026,0.2258308082818985,10.728167174512858,0.6816006302833557,0.6600029468536377,-0.13371122628450394,-78.21696472167969,0.6731711554074493,0.11058838665485382,4.118202998504996,-0.0733690857887268,0.0337182879447937
val,near_good,48004,48004,39386,76,0.10805487632751465,145.75477600097656,0.3492922562156071,0.2645820379257202,9.663556228806353,0.632004976272583,0.5067667365074158,0.05697488784790039,105.83817291259766,0.36340885473668644,0.2603088319301605,12.443165233998103,0.6209242939949036,0.5139323472976685,-0.05107998847961426,-39.916603088378906,0.014116598521079327,-0.004273205995559692,2.77960900519175,-0.011080682277679443,0.0071656107902526855
val,near_good,26322,26322,6824,80,0.18165624141693115,188.98431396484375,0.1131392121104104,0.11656240373849869,7.407496861420276,0.7110263109207153,0.6609526872634888,0.14642633497714996,169.67201232910156,0.17131036783672168,0.15401311218738556,8.343807789338637,0.695891797542572,0.6321208477020264,-0.03522990643978119,-19.312301635742188,0.05817115572631128,0.03745070844888687,0.9363109279183615,-0.01513451337814331,-0.028831839561462402
