split,row_index,query_nsd_id,gt_nsd_id,compact_top1_nsd_id,legacy_top1_nsd_id,rerank_top1_nsd_id,fused_top1_nsd_id,compact_gt_rank,legacy_gt_rank,rerank_gt_rank,fused_gt_rank,bucket,fused_fixed_case,fused_fixed_to_top1,fused_margin_top1_top2,topk,topk_compact_scores,topk_legacy_scores,topk_rerank_scores,topk_fused_scores,topk_weights,selection_order,selected_seed,retrieval_mse,retrieval_pixel_l2,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,diffusion_mse,diffusion_pixel_l2,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,delta_mse,delta_pixel_l2,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity,candidate_scores
val,876,71315,71315,16588,71315,16588,71315,45,1,14,1,perfect,False,False,0.10895347595214844,"[71315, 16588, 40530, 24422, 12795]","[-0.043706536293029785, 0.014589130878448486, -0.003903210163116455, -0.021667659282684326, 0.0036662518978118896]","[-0.0014642775058746338, -0.03579549491405487, -0.03501952439546585, -0.026981405913829803, -0.048143550753593445]","[0.23081132769584656, 0.3502832353115082, 0.16202127933502197, 0.2356284260749817, 0.23303335905075073]","[2.169647216796875, 2.0606937408447266, 1.808613657951355, 1.7731295824050903, 1.5488662719726562]","[0.2628873519400019, 0.235750052651759, 0.18322081448256908, 0.1768333893939717, 0.1413083915316982]",0,43,0.0,0.0,1.0,1.0,inf,0.0,1.0,0.05244813859462738,101.5466537475586,0.3512385354359883,0.24792812764644623,12.802699362867669,0.7057896256446838,0.5340852737426758,0.05244813859462738,101.5466537475586,-0.6487614645640116,-0.7520718723535538,-inf,0.7057896256446838,-0.4659147262573242,"[{""seed"": 42, ""prior_proto_similarity"": 0.7398170828819275, ""retrieved_weighted_similarity"": 0.5972874164581299, ""selection_score"": 0.6685522496700287}, {""seed"": 43, ""prior_proto_similarity"": 0.7510344386100769, ""retrieved_weighted_similarity"": 0.6063437461853027, ""selection_score"": 0.6786890923976898}, {""seed"": 44, ""prior_proto_similarity"": 0.7386391758918762, ""retrieved_weighted_similarity"": 0.5963366031646729, ""selection_score"": 0.6674878895282745}, {""seed"": 45, ""prior_proto_similarity"": 0.7370902299880981, ""retrieved_weighted_similarity"": 0.5950859189033508, ""selection_score"": 0.6660880744457245}]"
val,417,34704,34704,33342,34704,30358,34704,36,1,9,1,perfect,False,False,0.12447929382324219,"[34704, 8196, 10590, 46498, 68193]","[-0.0486413836479187, -0.015544027090072632, -0.025629520416259766, -0.022034883499145508, -0.005833566188812256]","[0.008089505136013031, -0.010715864598751068, -0.011364750564098358, -0.014812111854553223, -0.022478796541690826]","[0.21035873889923096, 0.24854344129562378, 0.19764961302280426, 0.2080250233411789, 0.18195919692516327]","[2.1659584045410156, 2.0414791107177734, 1.8584012985229492, 1.7962076663970947, 1.7885801792144775]","[0.2503278893924968, 0.22102864804260133, 0.18405129760286737, 0.1729531723756779, 0.17163899258635668]",1,47,0.0,0.0,1.0,1.0,inf,0.0,1.0,0.05059182643890381,99.73343658447266,0.2029943638176857,0.2545213997364044,12.959196327768636,0.6117349863052368,0.7398971319198608,0.05059182643890381,99.73343658447266,-0.7970056361823143,-0.7454786002635956,-inf,0.6117349863052368,-0.26010286808013916,"[{""seed"": 46, ""prior_proto_similarity"": 0.8103953003883362, ""retrieved_weighted_similarity"": 0.6840606331825256, ""selection_score"": 0.7472279667854309}, {""seed"": 47, ""prior_proto_similarity"": 0.8270399570465088, ""retrieved_weighted_similarity"": 0.6981104612350464, ""selection_score"": 0.7625752091407776}, {""seed"": 48, ""prior_proto_similarity"": 0.7899787425994873, ""retrieved_weighted_similarity"": 0.6668267846107483, ""selection_score"": 0.7284027636051178}, {""seed"": 49, ""prior_proto_similarity"": 0.8088451027870178, ""retrieved_weighted_similarity"": 0.6827520728111267, ""selection_score"": 0.7457985877990723}]"
shared1000,633,46372,46372,46372,4869,16917,46372,1,35,2,1,perfect,False,False,0.509777307510376,"[46372, 57822, 43288, 41623, 66342]","[0.07959520816802979, -0.04292836785316467, -0.031896501779556274, -0.0007052421569824219, -0.07565462589263916]","[-0.03680175542831421, -0.0014749988913536072, -0.014052323997020721, -0.030276179313659668, -0.0013472884893417358]","[0.2964129149913788, 0.20403486490249634, 0.19165757298469543, 0.22124822437763214, 0.22463124990463257]","[2.5449912548065186, 2.0352139472961426, 1.850694179534912, 1.8031634092330933, 1.6708004474639893]","[0.33405748064431195, 0.20064471729288572, 0.16683678524218096, 0.15909241031392407, 0.13936860650669722]",2,50,0.0,0.0,1.0,1.0,inf,0.0,1.0,0.05326930060982704,102.33850860595703,0.5439119558572129,0.24452047049999237,12.735230135252332,0.5789602994918823,0.6351306438446045,0.05326930060982704,102.33850860595703,-0.45608804414278714,-0.7554795295000076,-inf,0.5789602994918823,-0.3648693561553955,"[{""seed"": 50, ""prior_proto_similarity"": 0.756458580493927, ""retrieved_weighted_similarity"": 0.6404258012771606, ""selection_score"": 0.6984421908855438}, {""seed"": 51, ""prior_proto_similarity"": 0.7163333296775818, ""retrieved_weighted_similarity"": 0.6064552068710327, ""selection_score"": 0.6613942682743073}, {""seed"": 52, ""prior_proto_similarity"": 0.7341781258583069, ""retrieved_weighted_similarity"": 0.6215628385543823, ""selection_score"": 0.6778704822063446}, {""seed"": 53, ""prior_proto_similarity"": 0.7181749939918518, ""retrieved_weighted_similarity"": 0.6080144643783569, ""selection_score"": 0.6630947291851044}]"
shared1000,377,28349,28349,46380,28349,28349,28349,33,1,1,1,perfect,False,False,0.336594820022583,"[28349, 40235, 14121, 39841, 54147]","[-0.05675145983695984, -0.011616379022598267, -0.0181904137134552, -0.028284907341003418, -0.024927198886871338]","[0.023395419120788574, -0.02709093689918518, -0.03309331834316254, -0.027913518249988556, -0.039453424513339996]","[0.36858034133911133, 0.24567103385925293, 0.3047165870666504, 0.1591586321592331, 0.1374208629131317]","[2.4613845348358154, 2.1247897148132324, 1.8851473331451416, 1.8283352851867676, 1.6350524425506592]","[0.3081826347285379, 0.2201034706916554, 0.173201451303479, 0.16363581650261985, 0.13487662677370796]",3,54,0.0,0.0,1.0,1.0,inf,0.0,0.9999999403953552,0.04449087381362915,93.52679443359375,0.7240620390564317,0.36498236656188965,13.51729103725283,0.6379903554916382,0.6359617710113525,0.04449087381362915,93.52679443359375,-0.27593796094356826,-0.6350176334381104,-inf,0.6379903554916382,-0.3640381693840027,"[{""seed"": 54, ""prior_proto_similarity"": 0.7360357642173767, ""retrieved_weighted_similarity"": 0.6199503540992737, ""selection_score"": 0.6779930591583252}, {""seed"": 55, ""prior_proto_similarity"": 0.735349714756012, ""retrieved_weighted_similarity"": 0.6193726658821106, ""selection_score"": 0.6773611903190613}, {""seed"": 56, ""prior_proto_similarity"": 0.735156774520874, ""retrieved_weighted_similarity"": 0.6192100048065186, ""selection_score"": 0.6771833896636963}, {""seed"": 57, ""prior_proto_similarity"": 0.7203723192214966, ""retrieved_weighted_similarity"": 0.6067572832107544, ""selection_score"": 0.6635648012161255}]"
val,743,60007,60007,67834,67834,44569,67834,2,23,33,2,good,False,False,1.1587573289871216,"[67834, 60007, 44569, 9609, 49669]","[0.024401187896728516, 0.007629036903381348, -0.027282923460006714, -0.0361577570438385, -0.023411691188812256]","[0.00960637629032135, -0.02542620152235031, -0.010133035480976105, -0.011647500097751617, -0.019425004720687866]","[0.3408403992652893, 0.22165615856647491, 0.3597194254398346, 0.3222108483314514, 0.27479061484336853]","[2.962942123413086, 1.8041847944259644, 1.7501161098480225, 1.5919771194458008, 1.553070068359375]","[0.474098094283367, 0.14880800548610829, 0.14097579890624753, 0.12035542574731091, 0.11576267557696611]",4,59,0.1303781121969223,160.10427856445312,0.4724670454207801,0.17822051048278809,8.847953431791497,0.6089137196540833,0.5770683288574219,0.0699152946472168,117.24293518066406,0.566101803922643,0.19313271343708038,11.55427776990565,0.6126360893249512,0.6138464212417603,-0.060462817549705505,-42.86134338378906,0.09363475850186287,0.014912202954292297,2.706324338114152,0.00372236967086792,0.03677809238433838,"[{""seed"": 58, ""prior_proto_similarity"": 0.6831638216972351, ""retrieved_weighted_similarity"": 0.5837628841400146, ""selection_score"": 0.6334633529186249}, {""seed"": 59, ""prior_proto_similarity"": 0.6887410283088684, ""retrieved_weighted_similarity"": 0.5885286927223206, ""selection_score"": 0.6386348605155945}, {""seed"": 60, ""prior_proto_similarity"": 0.6639788746833801, ""retrieved_weighted_similarity"": 0.5673694610595703, ""selection_score"": 0.6156741678714752}, {""seed"": 61, ""prior_proto_similarity"": 0.6805118322372437, ""retrieved_weighted_similarity"": 0.5814967751502991, ""selection_score"": 0.6310043036937714}]"
val,35,3024,3024,3585,3585,29549,3585,6,2,5,2,good,False,False,0.9810752868652344,"[3585, 3024, 29549, 72981, 22214]","[0.05690222978591919, -0.026580125093460083, -0.010290443897247314, -0.023691236972808838, -0.017215877771377563]","[0.01222604513168335, 0.011777929961681366, -0.0011947154998779297, 0.004190415143966675, -0.008636906743049622]","[0.3762388229370117, 0.3069995939731598, 0.39643052220344543, 0.2845486104488373, 0.30799633264541626]","[3.2782211303710938, 2.2971458435058594, 2.198262929916382, 2.16208553314209, 1.9522671699523926]","[0.4333487716746842, 0.1624658123704788, 0.14716945539220322, 0.14194040463782479, 0.11507555592480899]",5,63,0.17578232288360596,185.9037628173828,-0.13188518513680442,0.10459565371274948,7.550248269236533,0.7409459352493286,0.6707650423049927,0.09374894946813583,135.76373291015625,-0.023002409141972626,0.13720828294754028,10.280335951401282,0.6981989145278931,0.5900887846946716,-0.08203337341547012,-50.14002990722656,0.10888277599483179,0.0326126292347908,2.730087682164749,-0.04274702072143555,-0.08067625761032104,"[{""seed"": 62, ""prior_proto_similarity"": 0.679239809513092, ""retrieved_weighted_similarity"": 0.5958192944526672, ""selection_score"": 0.6375295519828796}, {""seed"": 63, ""prior_proto_similarity"": 0.6922395825386047, ""retrieved_weighted_similarity"": 0.6072224974632263, ""selection_score"": 0.6497310400009155}, {""seed"": 64, ""prior_proto_similarity"": 0.6827840209007263, ""retrieved_weighted_similarity"": 0.5989283323287964, ""selection_score"": 0.6408561766147614}, {""seed"": 65, ""prior_proto_similarity"": 0.6744033098220825, ""retrieved_weighted_similarity"": 0.5915767550468445, ""selection_score"": 0.6329900324344635}]"
shared1000,130,11159,11159,26372,26372,34089,26372,3,2,3,2,good,False,False,0.698394775390625,"[26372, 11159, 34089, 10107, 66773]","[0.01158076524734497, 0.0009217262268066406, -0.028357326984405518, 0.008685588836669922, -0.043389737606048584]","[0.047170206904411316, 0.01625661551952362, 0.016064226627349854, -0.013634786009788513, 0.00437520444393158]","[0.4859486222267151, 0.47163882851600647, 0.5025299191474915, 0.4040857255458832, 0.3028758466243744]","[3.170713424682617, 2.472318649291992, 2.130565643310547, 2.005730390548706, 1.7394157648086548]","[0.4163696454164945, 0.20709521452032478, 0.14714605354542443, 0.1298773316506271, 0.09951175486712938]",6,68,0.11630361527204514,151.21580505371094,0.04071300458059061,0.05468880012631416,9.344067733325778,0.7505484819412231,0.6804160475730896,0.06481772661209106,112.88792419433594,0.2967368570670953,0.09819269180297852,11.883062093090446,0.8152632713317871,0.6116936206817627,-0.05148588865995407,-38.327880859375,0.25602385248650467,0.04350389167666435,2.5389943597646685,0.06471478939056396,-0.0687224268913269,"[{""seed"": 66, ""prior_proto_similarity"": 0.7249612808227539, ""retrieved_weighted_similarity"": 0.6391090750694275, ""selection_score"": 0.6820351779460907}, {""seed"": 67, ""prior_proto_similarity"": 0.7022044658660889, ""retrieved_weighted_similarity"": 0.6190469861030579, ""selection_score"": 0.6606257259845734}, {""seed"": 68, ""prior_proto_similarity"": 0.7276395559310913, ""retrieved_weighted_similarity"": 0.641470193862915, ""selection_score"": 0.6845548748970032}, {""seed"": 69, ""prior_proto_similarity"": 0.7132706642150879, ""retrieved_weighted_similarity"": 0.6288028359413147, ""selection_score"": 0.6710367500782013}]"
shared1000,788,56911,56911,7654,7654,32625,7654,3,3,2,2,good,True,False,0.6825504302978516,"[7654, 56911, 31349, 61738, 48622]","[0.006679892539978027, -0.0018796920776367188, -0.013595998287200928, -0.019271492958068848, -0.034410059452056885]","[0.02309282124042511, 0.003909647464752197, 0.004610344767570496, -0.008494831621646881, -0.007935754954814911]","[0.2623406946659088, 0.266476571559906, 0.20375561714172363, 0.24273236095905304, 0.2031605839729309]","[3.211246967315674, 2.5286965370178223, 2.3995673656463623, 1.9354796409606934, 1.75829017162323]","[0.40608602290329654, 0.20520604787407637, 0.18034747641830984, 0.11338597312679542, 0.0949744796775217]",7,71,0.218274787068367,207.1583251953125,-0.3418225111789691,0.11524242162704468,6.609964176007862,0.7549697160720825,0.626284658908844,0.08456356078386307,128.9413604736328,0.33134864422848026,0.2258308082818985,10.728167174512858,0.6816006302833557,0.6600029468536377,-0.13371122628450394,-78.21696472167969,0.6731711554074493,0.11058838665485382,4.118202998504996,-0.0733690857887268,0.0337182879447937,"[{""seed"": 70, ""prior_proto_similarity"": 0.7635765075683594, ""retrieved_weighted_similarity"": 0.6682528853416443, ""selection_score"": 0.7159146964550018}, {""seed"": 71, ""prior_proto_similarity"": 0.7812584638595581, ""retrieved_weighted_similarity"": 0.6837274432182312, ""selection_score"": 0.7324929535388947}, {""seed"": 72, ""prior_proto_similarity"": 0.7619690895080566, ""retrieved_weighted_similarity"": 0.6668462157249451, ""selection_score"": 0.7144076526165009}, {""seed"": 73, ""prior_proto_similarity"": 0.7715363502502441, ""retrieved_weighted_similarity"": 0.6752189993858337, ""selection_score"": 0.7233776748180389}]"
val,581,48004,48004,22934,39386,42467,39386,34,2,25,6,near_good,False,False,0.6002457141876221,"[39386, 14429, 22934, 42467, 8557]","[-0.034802407026290894, 0.011905670166015625, 0.015248537063598633, -0.038833558559417725, -0.021892160177230835]","[0.02266588807106018, -0.021266072988510132, -0.025627903640270233, -0.007522694766521454, -0.018555499613285065]","[0.36327680945396423, 0.320155531167984, 0.36156579852104187, 0.38798007369041443, 0.30294695496559143]","[2.7205142974853516, 2.1202685832977295, 2.0490469932556152, 1.9836225509643555, 1.8796789646148682]","[0.3367474627807453, 0.18476552091123313, 0.17206390983422515, 0.16116707088703328, 0.1452560355867631]",8,76,0.10805487632751465,145.75477600097656,0.3492922562156071,0.2645820379257202,9.663556228806353,0.632004976272583,0.5067667365074158,0.05697488784790039,105.83817291259766,0.36340885473668644,0.2603088319301605,12.443165233998103,0.6209242939949036,0.5139323472976685,-0.05107998847961426,-39.916603088378906,0.014116598521079327,-0.004273205995559692,2.77960900519175,-0.011080682277679443,0.0071656107902526855,"[{""seed"": 74, ""prior_proto_similarity"": 0.6589255928993225, ""retrieved_weighted_similarity"": 0.5466349124908447, ""selection_score"": 0.6027802526950836}, {""seed"": 75, ""prior_proto_similarity"": 0.6531292796134949, ""retrieved_weighted_similarity"": 0.5418263077735901, ""selection_score"": 0.5974777936935425}, {""seed"": 76, ""prior_proto_similarity"": 0.6695555448532104, ""retrieved_weighted_similarity"": 0.5554534196853638, ""selection_score"": 0.6125044822692871}, {""seed"": 77, ""prior_proto_similarity"": 0.6687886714935303, ""retrieved_weighted_similarity"": 0.5548173189163208, ""selection_score"": 0.6118029952049255}]"
val,308,26322,26322,30272,6824,6824,6824,11,5,8,6,near_good,False,False,0.26897716522216797,"[6824, 30272, 59975, 26480, 33017]","[0.01681375503540039, 0.01982855796813965, -0.010187327861785889, -0.014120638370513916, -0.062345683574676514]","[0.0011445581912994385, -0.015250444412231445, -0.015406817197799683, -0.018729738891124725, -0.005455084145069122]","[0.5004756450653076, 0.46615877747535706, 0.4625762701034546, 0.4271770715713501, 0.4415856897830963]","[2.537623405456543, 2.268646240234375, 2.039407730102539, 1.9506065845489502, 1.8229718208312988]","[0.292644048864673, 0.22362708266196948, 0.17781458406759965, 0.1627052365942562, 0.14320904781150176]",9,80,0.18165624141693115,188.98431396484375,0.1131392121104104,0.11656240373849869,7.407496861420276,0.7110263109207153,0.6609526872634888,0.14642633497714996,169.67201232910156,0.17131036783672168,0.15401311218738556,8.343807789338637,0.695891797542572,0.6321208477020264,-0.03522990643978119,-19.312301635742188,0.05817115572631128,0.03745070844888687,0.9363109279183615,-0.01513451337814331,-0.028831839561462402,"[{""seed"": 78, ""prior_proto_similarity"": 0.6844690442085266, ""retrieved_weighted_similarity"": 0.6052502393722534, ""selection_score"": 0.64485964179039}, {""seed"": 79, ""prior_proto_similarity"": 0.6872913241386414, ""retrieved_weighted_similarity"": 0.6077459454536438, ""selection_score"": 0.6475186347961426}, {""seed"": 80, ""prior_proto_similarity"": 0.7040102481842041, ""retrieved_weighted_similarity"": 0.6225297451019287, ""selection_score"": 0.6632699966430664}, {""seed"": 81, ""prior_proto_similarity"": 0.6962198615074158, ""retrieved_weighted_similarity"": 0.6156409382820129, ""selection_score"": 0.6559303998947144}]"
