split,row_index,query_nsd_id,gt_nsd_id,compact_top1_nsd_id,legacy_top1_nsd_id,rerank_top1_nsd_id,fused_top1_nsd_id,compact_gt_rank,legacy_gt_rank,rerank_gt_rank,fused_gt_rank,bucket,fused_fixed_case,fused_fixed_to_top1,fused_margin_top1_top2,topk,topk_compact_scores,topk_legacy_scores,topk_rerank_scores,topk_fused_scores,topk_weights,controller_route,controller_score,controller_reason,controller_top1_weight,controller_entropy,controller_expert_vote_fraction,controller_anchor_consensus,controller_anchor_margin,controller_support_spread,anchor_nsd_id,anchor_source,anchor_index_within_topk,selection_order
val,542,44355,44355,59219,44355,44355,44355,2,1,1,1,perfect,False,False,0.7400150299072266,"[44355, 59219, 26214, 62749, 51747]","[0.03910946846008301, 0.05164980888366699, 0.03572535514831543, 0.020853400230407715, -0.04701638221740723]","[0.06857073307037354, 0.022961348295211792, 0.023472636938095093, 0.012225553393363953, 0.018755674362182617]","[0.6081147789955139, 0.5487502813339233, 0.5298115611076355, 0.5533468723297119, 0.5012189745903015]","[4.019350528717041, 3.2793354988098145, 3.176210880279541, 2.8669140338897705, 2.506439208984375]","[0.4092326197749782, 0.19524764300375685, 0.17611621655073517, 0.12926276260118363, 0.09014075806934596]",identity_pass,14.579893756148618,stable anchor and concentrated support,0.4092326197749782,0.914474782978999,0.6666666666666666,65.09877014160156,-28.883834838867188,87.0195083618164,44355,fused_top1,0,0
val,306,26214,26214,26214,26214,62749,26214,1,1,2,1,perfect,False,False,0.18279600143432617,"[26214, 62749, 51747, 44355, 51221]","[0.047248780727386475, 0.020464003086090088, 0.02344071865081787, 0.02811586856842041, -0.005767166614532471]","[0.05756053328514099, 0.0557919442653656, 0.025769218802452087, 0.015379905700683594, 0.009108573198318481]","[0.5911849141120911, 0.6334049701690674, 0.5664325952529907, 0.49943822622299194, 0.5346846580505371]","[3.765392303466797, 3.5825963020324707, 3.108682155609131, 2.965625047683716, 2.668410301208496]","[0.3189992797685889, 0.26570664013945644, 0.16541851170346064, 0.1433689803507837, 0.10650658803771036]",identity_pass,16.218106167509145,stable anchor and concentrated support,0.3189992797685889,0.951429175974098,0.6666666666666666,72.69847106933594,-19.0892333984375,84.4942626953125,26214,fused_top1,0,1
shared1000,210,17374,17374,17374,17374,17374,17374,1,1,1,1,perfect,False,False,2.226851224899292,"[17374, 30430, 60553, 18690, 22387]","[0.0842556357383728, 0.046080172061920166, 0.04842174053192139, 0.012959718704223633, -0.016170799732208252]","[0.08253365755081177, 0.00795738399028778, -0.006454631686210632, -0.010057151317596436, -0.025080278515815735]","[0.4958769679069519, 0.4392493963241577, 0.390880823135376, 0.37777894735336304, 0.30883902311325073]","[5.596925258636475, 3.3700740337371826, 3.016730546951294, 2.6428186893463135, 2.0243656635284424]","[0.7912419728444666, 0.08534933037749835, 0.05994389951927961, 0.041243654028498104, 0.022221143230257413]",guided_refine,0.5388713938292795,meaningful support but refinement justified,0.7912419728444666,0.48470534069949905,1.0,0.13066256046295166,-0.468608558177948,0.49489420652389526,17374,fused_top1,0,2
shared1000,933,67742,67742,67742,67742,67742,67742,1,1,1,1,perfect,False,False,2.192002773284912,"[67742, 59699, 3913, 43445, 70095]","[0.053942322731018066, -0.012213587760925293, -0.06652271747589111, -0.003906846046447754, -0.0184575617313385]","[0.042554982006549835, -0.02022753655910492, -0.027196258306503296, -0.054848767817020416, -0.05114273726940155]","[0.49840542674064636, 0.3226803243160248, 0.2925596535205841, 0.280403733253479, 0.22708763182163239]","[4.712566375732422, 2.5205636024475098, 1.799294352531433, 1.7675899267196655, 1.7091618776321411]","[0.7885118493973288, 0.08807111919703971, 0.042814439229153456, 0.041478324311822884, 0.03912426786465517]",guided_refine,0.5295552333611919,meaningful support but refinement justified,0.7885118493973288,0.49399158217457023,1.0,0.09963710606098175,-0.3470054417848587,0.3799745440483093,67742,fused_top1,0,3
val,781,62749,62749,29251,26214,62749,26214,5,2,1,2,good,False,False,0.3373453617095947,"[26214, 62749, 51747, 51221, 29251]","[0.03496694564819336, 0.004354417324066162, -0.010613799095153809, 0.03401768207550049, 0.03733748197555542]","[0.046265363693237305, 0.03697511553764343, 0.0360335111618042, 0.01037144660949707, 0.0040038228034973145]","[0.6008888483047485, 0.6338218450546265, 0.5865026712417603, 0.5412582755088806, 0.4230746626853943]","[3.6599276065826416, 3.322582244873047, 3.2175846099853516, 3.0566866397857666, 2.970486640930176]","[0.2936785183168565, 0.20958729438896628, 0.18869702705002592, 0.16065267349321619, 0.1473844867509351]",low_strength_refine,19.10766515584385,strong anchor but mild ambiguity,0.2936785183168565,0.9804459431577385,0.3333333333333333,84.97372436523438,2.181854248046875,80.50553131103516,51221,consensus_medoid,3,4
val,754,60784,60784,4360,60784,60784,4360,2,1,1,2,good,False,False,0.09935235977172852,"[4360, 60784, 27421, 37267, 14089]","[0.08818084001541138, 0.050385743379592896, -0.003711491823196411, -0.008920490741729736, -0.051374346017837524]","[0.040906742215156555, 0.048568278551101685, -0.005547627806663513, -0.015270337462425232, -0.030896224081516266]","[0.46247920393943787, 0.484037846326828, 0.3354075849056244, 0.31116783618927, 0.26154759526252747]","[4.934341907501221, 4.834989547729492, 2.985172986984253, 2.6886723041534424, 1.9412841796875]","[0.45376034196275633, 0.41084533004858503, 0.06461200678136991, 0.04803354275137055, 0.022748778455918318]",low_strength_refine,20.090611205152566,strong anchor but mild ambiguity,0.45376034196275633,0.7039104368746176,0.3333333333333333,89.71256256103516,0.8701934814453125,74.10189056396484,37267,consensus_medoid,3,5
shared1000,253,21108,21108,22587,22587,22587,22587,4,2,2,2,good,False,False,0.4691464900970459,"[22587, 21108, 50170, 46150, 71928]","[0.022777020931243896, 0.013646960258483887, -0.024056732654571533, -0.02721726894378662, 0.004220247268676758]","[0.059505194425582886, 0.03492005169391632, -0.00238974392414093, -0.004201367497444153, -0.027258992195129395]","[0.5606194734573364, 0.5248832702636719, 0.4107336401939392, 0.35934939980506897, 0.31613534688949585]","[3.491910696029663, 3.022764205932617, 2.1221635341644287, 2.067915439605713, 1.9443154335021973]","[0.42859291089585116, 0.26810027009034676, 0.10893598116222644, 0.10318384358043636, 0.09118699427113935]",guided_refine,0.410267470944227,meaningful support but refinement justified,0.42859291089585116,0.8762653353629887,1.0,0.36098799109458923,-0.18523219227790833,0.49265700578689575,22587,fused_top1,0,6
shared1000,725,52990,52990,38817,38817,38817,38817,2,2,3,2,good,False,False,0.28339242935180664,"[38817, 52990, 65148, 42563, 6199]","[0.04085582494735718, 0.02273881435394287, 0.011187374591827393, -0.011941075325012207, -0.013020515441894531]","[0.03780257701873779, 0.02799306809902191, 0.005327478051185608, 0.0007604807615280151, -0.001636013388633728]","[0.5334502458572388, 0.47693321108818054, 0.5294602513313293, 0.35315659642219543, 0.3702056109905243]","[2.986008644104004, 2.7026162147521973, 2.228276252746582, 2.00885272026062, 1.9595446586608887]","[0.3382258988344329, 0.2547599126518148, 0.158535987914481, 0.12730147447142748, 0.12117672612784378]",guided_refine,0.3749909788509843,meaningful support but refinement justified,0.3382258988344329,0.9476246794817951,1.0,0.382252961397171,-0.10996261239051819,0.45481473207473755,38817,fused_top1,0,7
val,327,27639,27639,33291,65653,27639,65653,2,16,1,6,near_good,False,False,0.08284926414489746,"[65653, 33291, 54767, 66538, 10277]","[-0.006721675395965576, 0.031302690505981445, -0.0031279325485229492, -0.019614994525909424, -0.008899867534637451]","[0.00151100754737854, -0.01454991102218628, -0.0037910640239715576, -0.000893130898475647, -0.009835660457611084]","[0.37983113527297974, 0.36970099806785583, 0.38305333256721497, 0.36591145396232605, 0.3966086804866791]","[2.1130993366241455, 2.030250072479248, 2.0063529014587402, 1.93599271774292, 1.797196626663208]","[0.22799483489910213, 0.20986693994819755, 0.20491116414463453, 0.1909890995244267, 0.1662379614836391]",low_strength_refine,16.544565002075995,strong anchor but mild ambiguity,0.22799483489910213,0.9966421232377755,0.3333333333333333,72.09597778320312,4.620391845703125,66.86479187011719,10277,consensus_medoid,4,8
val,124,11258,11258,24422,70464,3943,24422,11,9,6,7,near_good,True,False,0.12391650676727295,"[24422, 3943, 21405, 64800, 27514]","[0.007495760917663574, -0.03316795825958252, -0.04595118761062622, -0.02159339189529419, 0.004912912845611572]","[-0.016136810183525085, 0.0038992613554000854, 0.01052546501159668, -0.00889664888381958, -0.025421805679798126]","[0.2800547480583191, 0.33223533630371094, 0.2551262378692627, 0.2910534143447876, 0.18596576154232025]","[2.0473780632019043, 1.9234615564346313, 1.8929972648620605, 1.7748879194259644, 1.7658542394638062]","[0.23493408214208114, 0.2075533606782336, 0.2013257362975524, 0.17889782440721158, 0.17728899647492136]",low_strength_refine,15.236042383716502,strong anchor but mild ambiguity,0.23493408214208114,0.9965649365687368,0.3333333333333333,68.58770751953125,0.130401611328125,67.27226257324219,3943,consensus_medoid,1,9
