dataset,access,publication,subjects,states,content_identities,content_shared_across_states,trial_level,repetitions,resolution,vividness,delay,license,principal_limitation,supports_3plus_states,supports_heldout_content,usable_for_MINDIR
NSD-Imagery,naturalscenesdataset.org,Kneeland et al. CVPR 2025,8 (Roy et al. use 8; 4 completed full NSD-core),perception + imagery (2),12 (6 simple bars/crosses + 6 naturalistic),YES same stimulus seen then imagined,YES,vision 8/stim; imagery 16 across 2 runs,7T voxel; NSD ROIs,YES VVIQ,none,CC-BY-NC-ND 4.0,"ONLY 12 CONTENT IDENTITIES -- held-out-content evaluation is severely limited; imagery in separate runs from vision",NO,MARGINAL (12 items),YES for H7/H1 only
Spatial Imagery (Roy et al. Dataset 2),not yet located; cited in Roy et al. 2025,Roy et al. 2025 bioRxiv,3,perception + imagery (2),64 objects x 8 locations = 512 unique conditions,YES,YES,2 per run; 13-16 runs per state,7T,NO,none,UNKNOWN,"only 3 subjects; access procedure unverified; BUT 512 conditions is the richest paired perception-imagery content found",NO,YES (512 conditions),HIGH VALUE IF OBTAINABLE
NSD-core,naturalscenesdataset.org,Allen et al. 2022,8,perception only (1),73000,N/A single state,YES,3,7T,NO,none,CC-BY 4.0,single state - cannot support any transition,NO,YES,NO (no second state)
NSD-Synthetic,naturalscenesdataset.org,Gifford et al. Nat Commun 2026,8,perception only (1),284 controlled synthetic,N/A single state,YES,variable,7T,NO,none,CC-BY 4.0,"single state; but its factorial low-level control (orientation/SF/contrast/phase/colour) is the best available FEATURE-ASSAY substrate for H3",NO,YES,ONLY as a feature-assay reference
BOLD5000,public,Chang et al. 2019,4,perception only,5254,N/A,YES,varies,3T,NO,none,open,single state,NO,YES,NO
Generic Object Decoding (Horikawa/Kamitani),public,Horikawa & Kamitani 2017,5,perception + imagery,150 train / 50 test categories,YES imagery of seen categories,YES,varies,3T,NO,none,open,"CATEGORY-level imagery not exemplar-level; 3T lower SNR; NOT YET AUDITED IN FULL",NO,PARTIAL,CANDIDATE - AUDIT REQUIRED
Memory reinstatement datasets (generic),various,various,varies,perception + recall,varies,varies,varies,varies,3T mostly,varies,YES,varies,"NOT AUDITED THIS SESSION - the single largest unexamined opportunity for a 3rd state",UNKNOWN,UNKNOWN,UNKNOWN - AUDIT REQUIRED
Working-memory fMRI datasets (generic),various,various,varies,perception + WM maintenance,varies,varies,varies,varies,3T/7T,varies,YES,varies,NOT AUDITED THIS SESSION,UNKNOWN,UNKNOWN,UNKNOWN - AUDIT REQUIRED
MEG/EEG imagery datasets,various,various,varies,perception + imagery,varies,varies,varies,varies,sensor,varies,varies,varies,NOT AUDITED THIS SESSION; temporal resolution could constrain transition dynamics,UNKNOWN,UNKNOWN,UNKNOWN - AUDIT REQUIRED
Intracranial perception-imagery,restricted,various,varies,perception + imagery,varies,varies,varies,varies,electrode,varies,varies,restricted,"REQUIRES COLLABORATION AND APPROVAL - outside autonomous authority",UNKNOWN,UNKNOWN,BLOCKED - human-subject access
MindStates-7T (PROPOSED),does not exist,none,target 20-30,"perception, WM-encode, WM-maintain, immediate imagery, delayed imagery, immediate recall, delayed recall, counterfactual recombination",target 100+ factorial + naturalistic,YES by design,YES,target 4+,7T (3T fallback),YES,YES,to be defined,"DOES NOT EXIST. Requires scanner access, ethics approval, funding, collaboration -- ALL outside autonomous authority",YES by design,YES by design,THE ONLY PATH TO THE FLAGSHIP
