split,row_index,query_nsd_id,gt_rank,bucket,anchor_nsd_id,confidence,strength,guidance_scale,steps
shared1000,143,11932,1,perfect,11932,0.5597931146621704,0.0,0.0,0
shared1000,247,20633,1,perfect,20633,0.2177411913871765,0.0,0.0,0
shared1000,704,51745,1,perfect,51745,0.36160582304000854,0.0,0.0,0
shared1000,830,60456,1,perfect,60456,0.27394336462020874,0.0,0.0,0
shared1000,0,2950,5,good,2990,0.06806084513664246,0.2796,3.31,47
shared1000,1,2990,2,good,56948,0.13034456968307495,0.2609,3.59,46
shared1000,18,3842,2,good,64004,0.026592493057250977,0.292,3.12,49
shared1000,19,3847,3,good,70360,0.005967617034912109,0.2982,3.03,49
shared1000,22,3951,2,good,22809,0.03401017189025879,0.2898,3.15,48
shared1000,33,4690,5,good,51051,0.02913069725036621,0.2913,3.13,49
shared1000,34,4768,2,good,44144,0.0658687949180603,0.2802,3.3,48
shared1000,40,5034,2,good,43445,0.030071020126342773,0.291,3.14,49
shared1000,48,5502,2,good,30601,0.08821016550064087,0.2735,3.4,47
shared1000,54,5878,2,good,11689,0.03481340408325195,0.2896,3.16,48
shared1000,64,6524,2,good,16063,0.07596081495285034,0.2772,3.34,47
shared1000,72,7207,2,good,27275,0.06721383333206177,0.2798,3.3,47
shared1000,108,9434,2,good,45750,0.010338544845581055,0.2969,3.05,49
shared1000,112,9804,2,good,71241,0.015125274658203125,0.2955,3.07,49
shared1000,115,9917,2,good,28024,0.0714489221572876,0.2786,3.32,47
shared1000,116,9978,2,good,68418,0.0728381872177124,0.2781,3.33,47
shared1000,123,10393,5,good,34186,0.05302703380584717,0.2841,3.24,48
shared1000,125,10507,2,good,8435,0.04753386974334717,0.2857,3.21,48
shared1000,130,11159,2,good,26372,0.08849751949310303,0.2735,3.4,47
shared1000,133,11521,2,good,8109,0.10433977842330933,0.2687,3.47,46
shared1000,144,11942,5,good,24640,0.01986461877822876,0.294,3.09,49
shared1000,157,12937,2,good,56751,0.05483180284500122,0.2836,3.25,48
shared1000,174,14594,2,good,4325,0.17919999361038208,0.2462,3.81,44
shared1000,176,14644,2,good,28096,0.07529330253601074,0.2774,3.34,47
shared1000,189,15819,4,good,28068,0.1551784873008728,0.2534,3.7,45
shared1000,191,16063,2,good,11159,0.01577049493789673,0.2953,3.07,49
shared1000,194,16421,4,good,61122,0.038102686405181885,0.2886,3.17,48
shared1000,205,16917,2,good,12634,0.0668177604675293,0.28,3.3,47
shared1000,206,17048,3,good,37736,0.015576064586639404,0.2953,3.07,49
shared1000,207,17230,3,good,57443,0.1125994324684143,0.2662,3.51,46
shared1000,209,17369,4,good,47687,0.061928749084472656,0.2814,3.28,48
shared1000,213,17485,3,good,53858,0.10574257373809814,0.2683,3.48,46
shared1000,235,19642,5,good,56695,0.0648031234741211,0.2806,3.29,48
shared1000,240,20064,2,good,65414,0.041445136070251465,0.2876,3.19,48
shared1000,253,21108,2,good,22587,0.10207128524780273,0.2694,3.46,46
shared1000,263,21553,3,good,72510,0.01480334997177124,0.2956,3.07,49
shared1000,268,22138,2,good,72605,0.050086379051208496,0.285,3.23,48
shared1000,275,22515,5,good,29711,0.01533430814743042,0.2954,3.07,49
shared1000,284,22845,2,good,40840,0.03465878963470459,0.2896,3.16,48
shared1000,287,22886,2,good,21192,0.06265515089035034,0.2812,3.28,48
shared1000,306,24530,4,good,47598,0.1421474814414978,0.2574,3.64,45
shared1000,317,25111,5,good,72257,0.05981588363647461,0.2821,3.27,48
shared1000,320,25268,2,good,7944,0.053369998931884766,0.284,3.24,48
shared1000,334,25711,2,good,4930,0.05477142333984375,0.2836,3.25,48
shared1000,352,26780,4,good,8843,0.0931706428527832,0.272,3.42,47
shared1000,363,27580,2,good,33245,0.005991458892822266,0.2982,3.03,49
shared1000,365,27878,2,good,38246,0.03021419048309326,0.2909,3.14,49
shared1000,367,28024,2,good,10105,0.04574549198150635,0.2863,3.21,48
shared1000,383,28745,4,good,44097,0.03157484531402588,0.2905,3.14,49
shared1000,384,28751,2,good,6640,0.02538907527923584,0.2924,3.11,49
shared1000,393,29660,2,good,64893,0.051668405532836914,0.2845,3.23,48
shared1000,411,30847,3,good,33171,0.026253819465637207,0.2921,3.12,49
shared1000,412,30856,3,good,51788,0.004936158657073975,0.2985,3.02,49
shared1000,413,30887,2,good,46274,0.002892613410949707,0.2991,3.01,49
shared1000,421,31233,2,good,6489,0.049274563789367676,0.2852,3.22,48
shared1000,428,31837,2,good,28788,0.03993058204650879,0.288,3.18,48
shared1000,429,31936,2,good,34186,0.04743516445159912,0.2858,3.21,48
shared1000,447,33289,2,good,24480,0.01689523458480835,0.2949,3.08,49
shared1000,450,33752,4,good,61216,0.09144461154937744,0.2726,3.41,47
shared1000,460,34603,2,good,67829,0.21735548973083496,0.2348,3.98,43
shared1000,470,35752,2,good,24640,0.02461695671081543,0.2926,3.11,49
shared1000,475,36258,2,good,60834,0.010343313217163086,0.2969,3.05,49
shared1000,481,36682,2,good,62302,0.07762575149536133,0.2767,3.35,47
shared1000,484,36910,4,good,22772,0.0392342209815979,0.2882,3.18,48
shared1000,487,36978,2,good,4768,0.006275653839111328,0.2981,3.03,49
shared1000,493,37608,2,good,20820,0.06311684846878052,0.2811,3.28,48
shared1000,500,38246,3,good,46806,0.09206408262252808,0.2724,3.41,47
shared1000,502,38297,2,good,70671,0.17634397745132446,0.2471,3.79,44
shared1000,515,39058,2,good,25741,0.17948168516159058,0.2462,3.81,44
shared1000,524,39841,2,good,25959,0.08335596323013306,0.275,3.38,47
shared1000,538,40935,2,good,38641,0.13997817039489746,0.258,3.63,45
shared1000,543,41137,4,good,33543,0.1719011664390564,0.2484,3.77,44
shared1000,546,41566,2,good,72948,0.02406233549118042,0.2928,3.11,49
shared1000,566,42648,2,good,24846,0.1416671872138977,0.2575,3.64,45
shared1000,569,42851,2,good,44971,0.012009620666503906,0.2964,3.05,49
shared1000,573,43107,2,good,51745,0.06783050298690796,0.2797,3.31,47
shared1000,603,44369,2,good,67802,0.009464502334594727,0.2972,3.04,49
shared1000,635,46460,2,good,16616,0.005501508712768555,0.2983,3.02,49
shared1000,648,47290,2,good,41482,0.03130340576171875,0.2906,3.14,49
shared1000,658,48260,3,good,22530,0.201852947473526,0.2394,3.91,43
shared1000,662,48422,3,good,29980,0.10062479972839355,0.2698,3.45,46
shared1000,668,48679,2,good,60305,0.06485539674758911,0.2805,3.29,48
shared1000,669,48681,3,good,38641,0.0722583532333374,0.2783,3.33,47
shared1000,671,48832,2,good,21526,0.09484314918518066,0.2715,3.43,47
shared1000,697,51052,2,good,15364,0.32290220260620117,0.2031,4.45,40
shared1000,717,52394,2,good,47656,0.04372304677963257,0.2869,3.2,48
shared1000,727,53070,2,good,8843,0.04644399881362915,0.2861,3.21,48
shared1000,734,53511,2,good,11521,0.10553926229476929,0.2683,3.47,46
shared1000,738,53773,3,good,64893,0.03442174196243286,0.2897,3.15,48
shared1000,740,53881,3,good,22263,0.004814088344573975,0.2986,3.02,49
shared1000,756,55107,2,good,38494,0.17445307970046997,0.2477,3.79,44
shared1000,790,57046,4,good,32910,0.05760824680328369,0.2827,3.26,48
shared1000,798,57650,4,good,9048,0.07022666931152344,0.2789,3.32,47
shared1000,799,57681,4,good,47687,0.1915540099143982,0.2425,3.86,44
shared1000,800,57822,2,good,16252,0.07796388864517212,0.2766,3.35,47
shared1000,804,58144,2,good,66342,0.05121159553527832,0.2846,3.23,48
shared1000,812,59046,3,good,9462,0.2804960012435913,0.2159,4.26,41
shared1000,824,59994,2,good,16252,0.11266538500785828,0.2662,3.51,46
shared1000,842,61216,4,good,64867,0.10331577062606812,0.269,3.46,46
shared1000,848,61752,3,good,21318,0.17563313245773315,0.2473,3.79,44
shared1000,855,62015,2,good,22967,0.025005221366882324,0.2925,3.11,49
shared1000,858,62275,2,good,21508,0.006574273109436035,0.298,3.03,49
shared1000,860,62365,5,good,63825,0.009558320045471191,0.2971,3.04,49
shared1000,868,63182,2,good,49234,0.09163552522659302,0.2725,3.41,47
shared1000,886,64867,2,good,61216,0.011007428169250488,0.2967,3.05,49
shared1000,893,65187,4,good,63781,0.04957699775695801,0.2851,3.22,48
shared1000,900,65639,2,good,71229,0.09951996803283691,0.2701,3.45,47
shared1000,910,66214,3,good,42642,0.10638344287872314,0.2681,3.48,46
shared1000,918,66489,2,good,29660,0.10280835628509521,0.2692,3.46,46
shared1000,925,67045,2,good,10907,0.20331281423568726,0.239,3.91,43
shared1000,932,67363,2,good,38853,0.1444924771785736,0.2567,3.65,45
shared1000,936,68023,3,good,5204,0.008037686347961426,0.2976,3.04,49
shared1000,937,68168,3,good,26372,0.09747624397277832,0.2708,3.44,47
shared1000,938,68278,4,good,14528,0.027592569589614868,0.2917,3.12,49
shared1000,939,68311,2,good,66342,0.3877400755882263,0.1837,4.74,38
shared1000,983,71232,2,good,70947,0.17900896072387695,0.2463,3.81,44
shared1000,996,72510,2,good,37436,0.1710658073425293,0.2487,3.77,44
shared1000,61,6489,6,near_good,66489,0.0024306178092956543,0.2993,3.01,49
shared1000,167,14110,14,near_good,4786,0.008401811122894287,0.2975,3.04,49
shared1000,219,17942,7,near_good,19181,0.12708288431167603,0.2619,3.57,46
shared1000,289,22967,11,near_good,47290,0.1295377016067505,0.2611,3.58,46
shared1000,298,23883,7,near_good,10600,0.013315916061401367,0.296,3.06,49
