split,row_index,query_nsd_id,gt_rank,bucket,anchor_nsd_id,confidence,strength,guidance_scale,steps
shared1000,143,11932,1,perfect,11932,0.5597938299179077,0.0,0.0,0
shared1000,247,20633,1,perfect,20633,0.217739999294281,0.0,0.0,0
shared1000,704,51745,1,perfect,51745,0.36160480976104736,0.0,0.0,0
shared1000,830,60456,1,perfect,60456,0.2739456295967102,0.0,0.0,0
shared1000,569,42851,2,good,44971,0.012009799480438232,0.2964,3.05,39
shared1000,800,57822,2,good,16252,0.07795852422714233,0.2766,3.35,38
shared1000,824,59994,2,good,16252,0.11266714334487915,0.2662,3.51,37
shared1000,860,62365,5,good,63825,0.009557783603668213,0.2971,3.04,39
shared1000,464,34850,14,near_good,28689,0.07007867097854614,0.279,3.32,38
shared1000,696,51051,14,near_good,57650,0.023560643196105957,0.2929,3.11,39
shared1000,703,51521,7,near_good,19181,0.002401292324066162,0.2993,3.01,39
shared1000,887,64880,11,near_good,27972,0.08385884761810303,0.2748,3.38,37
shared1000,78,7654,37,hard,13312,0.04207640886306763,0.2874,3.19,38
shared1000,351,26720,53,hard,10600,0.0916094183921814,0.2725,3.41,37
shared1000,442,32910,16,hard,52652,0.2861473560333252,0.2142,4.29,32
shared1000,796,57553,16,hard,26292,0.03645354509353638,0.2891,3.16,39
