citation,question,dataset,method,main_result,overlap_with_MINDIR,difference_from_MINDIR
"Roy et al. (vision-to-imagery transformation in the human brain)","Is there a lawful transformation from perception to imagery representations?","human fMRI (imagery + perception)","representational transformation between perception and imagery","a structured perception->imagery transformation exists","MINDIR extends the perception->imagery transformation framing","MINDIR adds outside-support residual decomposition, a minimal-calibration frontier, schedule fragility, and a repeat-geometry failure predictor; MINDIR is an independent method reproduction/extension, NOT a bitwise replication (original code/seeds unavailable)"
"Allen et al. 2022 (Natural Scenes Dataset)","large-scale high-quality naturalistic fMRI resource","NSD","7T fMRI, single-trial betas, NSD-Imagery","a public benchmark dataset for vision + imagery","MINDIR uses NSD/NSD-Imagery as its data","MINDIR is an analysis program on NSD, not a dataset paper"
"Naselaris et al. 2015 (imagery decoding) / Naselaris et al. 2011 (encoding-decoding review)","can mental imagery content be decoded from visual cortex?","human fMRI","encoding/decoding models","imagery content is partially decodable and overlaps perception","MINDIR shares the imagery-decoding motivation","MINDIR focuses on the geometry of the perception->imagery gap and the data cost of calibrating to it, not decoding accuracy per se"
"Horikawa & Kamitani 2017 (generic decoding of seen and imagined objects)","shared features between seen and imagined objects","human fMRI","feature decoding across perception and imagery","shared hierarchical features between seen and imagined stimuli","overlap in the perception/imagery shared-representation question","MINDIR quantifies the OUTSIDE-support residual and its subject-specificity + calibration burden, not shared feature decoding"
"Dijkstra et al. 2017/2019 (imagery vs perception representations)","how similar are imagery and perception neural representations?","human fMRI","representational similarity / overlap analyses","imagery and perception overlap but differ, esp. by region","supports 'similarity does not imply identical geometry'","MINDIR provides an explicit within/outside-support decomposition and a calibration frontier, not similarity mapping"
"Haxby et al. 2011 (hyperalignment); Chen et al. 2015 (Shared Response Model)","is there a common representational space across subjects?","human fMRI","functional alignment / shared response","a shared response space can be estimated across subjects","directly relevant to the cross-subject sharedness question (O2.10)","MINDIR finds the target-state residual orientation does NOT transfer across subjects under the tested representation; it does not attempt full hyperalignment"
"Feilong/Haxby and related (individual differences in fine functional topography)","how idiosyncratic is fine-grained functional organization?","human fMRI","fine-grained topography / individual differences","substantial subject-specific fine functional structure","supports plausibility of subject-specific geometry","MINDIR's subject-specificity is representation/transfer-procedure specific at N=8, not a topography claim"
"Scotti et al. 2024 (MindEye2, few-shot cross-subject decoding)","can decoders share across subjects with little data?","NSD","cross-subject / few-shot decoding + generative reconstruction","cross-subject decoding is feasible with limited target data","shares the few-shot / minimal-data calibration motivation","MINDIR studies the GEOMETRY and minimal-calibration frontier + its fragility, not reconstruction quality; finds subject-specific target geometry"
"Kay et al. 2008 (identifying natural images from brain activity)","can natural images be identified from V1-V4 activity?","human fMRI","encoding-model-based identification","natural images identifiable from visual cortex","foundational perception-decoding context","MINDIR concerns imagery target-state geometry and calibration, not perceptual identification"
"Gallego et al. 2018/2020 (neural manifolds; motor cortex)","are low-dimensional neural subspaces preserved?","monkey motor cortex","neural manifold / subspace analysis","stable low-dimensional latent subspaces underlie behaviour","provides subspace/manifold framing for repeat geometry","MINDIR is human visual imagery fMRI; its X4 'drift mode' is a representation-level quantity and does NOT predict calibration failure (distributed, not single-mode)"
"Kriegeskorte et al. 2008 (Representational Similarity Analysis)","how to compare representational geometries?","general","RSA / representational geometry","framework for comparing neural representational geometry","MINDIR uses coordinate-invariant geometric comparisons","MINDIR uses principal-angle/subspace and outside-support decompositions specific to the perception->imagery transformation"
